33184292,,branch-instructions,16.19%,121717135,100.00
991912,,branch-misses,9.42%,121714111,100.00
2856028,,bus-cycles,12.10%,121711164,100.00
6121236,,cache-misses,8.01%,121708578,100.00
23106072,,cache-references,26.24%,138566206,100.00
5285506,,L1-dcache-load-misses,26.17%,138569165,100.00
69260348,,L1-dcache-loads,33.37%,138568993,100.00
37510391,,L1-dcache-stores,33.85%,138568576,100.00
<not counted>,,L1-icache-load-misses,100125934,100.00
461186,,LLC-load-misses,13.94%,107121668,100.00
1286719,,LLC-loads,14.67%,107123326,100.00
180690,,LLC-store-misses,15.63%,98966185,79.75
393374,,LLC-stores,13.11%,97617046,78.65
756518,,branch-load-misses,7.68%,101185334,81.53
32308386,,branch-loads,27.06%,101940760,82.14
231328,,dTLB-load-misses,10.31%,96796670,78.09
105981619,,dTLB-loads,18.77%,264408429,100.00
33951,,dTLB-store-misses,17.80%,264445811,100.00
49749947,,dTLB-stores,19.00%,264443156,100.00
152602,,iTLB-load-misses,5.37%,264440073,100.00
376736,,iTLB-loads,7.15%,174479013,100.00
