85112784,,instructions,52.78%,68788025,100.00
72874380,,cycles,33.81%,68788462,100.00
68.122000,,task-clock,24.28%,68121784,100.00
204,,page-faults,53.56%,68115774,100.00
68.017395,,cpu-clock,24.32%,68119697,100.00
27184505,,branch-instructions,48.91%,67010016,100.00
327336,,branch-misses,24.53%,67010016,100.00
1577683,,bus-cycles,27.21%,67010016,100.00
2967138,,cache-misses,30.78%,67010016,100.00
3012995,,cache-references,9.84%,41874926,100.00
509217,,L1-dcache-load-misses,17.07%,41877494,100.00
9038342,,L1-dcache-loads,33.85%,41878546,100.00
4651742,,L1-dcache-stores,29.33%,41879782,100.00
2185496,,L1-icache-load-misses,11.15%,71614031,100.00
248920,,LLC-load-misses,20.96%,71614031,100.00
526461,,LLC-loads,19.80%,71614031,100.00
31285,,LLC-store-misses,60.32%,38130129,74.87
50596,,LLC-stores,51.79%,42102590,82.63
210089,,branch-load-misses,22.38%,40652790,79.85
15136706,,branch-loads,64.01%,42499765,83.57
161309,,dTLB-load-misses,72.60%,40413769,79.54
2524,,dTLB-store-misses,14.98%,44689632,100.00
5343865,,dTLB-stores,23.65%,44689632,100.00
35014,,iTLB-load-misses,4.65%,44689632,100.00
23116515,,dTLB-loads,62.64%,60768376,100.00
75318,,iTLB-loads,25.20%,60766813,100.00
